"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-23","1.7",",,W",,,"0.0","T,,W,2400",,,"25.0",",,W","18.3",",,W",,,"4.5",",,W","7.2",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-24","0.5",",,W",,,"0.0",",,W,2400",,,"27.8",",,W","18.3",",,W",,,"3.6",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-25","0.8",",,W",,,"0.0",",,W,2400",,,"26.7",",,W","20.0",",,W",,,"3.1",",,W","5.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-26","1.5",",,W",,,"0.0",",,W,2400",,,"28.3",",,W","20.6",",,W",,,"5.8",",,W","8.1",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-27","1.1",",,W",,,"0.0",",,W,2400",,,"31.1",",,W","23.3",",,W",,,"3.6",",,W","5.4",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-28","1.7",",,W",,,"0.0",",,W,2400",,,"34.4",",,W","26.1",",,W",,,"5.4",",,W","8.9",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-29","2.2",",,W",,,"0.0",",,W,2400",,,"33.3",",,W","27.2",",,W",,,"6.3",",,W","8.9",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-30","2.0",",,W",,,"0.0",",,W,2400",,,"32.2",",,W","25.6",",,W",,,"5.4",",,W","7.6",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-08-31","1.7",",,W",,,"0.8",",,W,2400",,,"25.6",",,W","20.6",",,W",,,"4.5",",,W","8.1",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-09-01","1.1",",,W",,,"0.0",",,W,2400",,,"25.6",",,W","20.6",",,W",,,"3.6",",,W","6.7",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-09-02","0.9",",,W",,,"0.0",",,W,2400",,,"27.2",",,W","20.0",",,W",,,"4.0",",,W","6.3",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-09-03","1.2",",,W",,,"0.0",",,W,2400",,,"32.2",",,W","23.9",",,W",,,"4.0",",,W","5.8",",,W",,,,,,,,,,,,,,
